Brand,Model,category,source,sourceType,sourceId
Sony,KDL32R500C,Televisions,Fry's Electronics,retailer,1
Samsung,QN49Q6FAMFXZA,Televisions,Fry's Electronics,retailer,1
Sony,XBR75X940D,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KU6500,Televisions,Fry's Electronics,retailer,1
Sony,XBR55X850C,Televisions,Fry's Electronics,retailer,1
RCA,PRK65A65RQ,Televisions,Fry's Electronics,retailer,1
Sony,XBR65X850D,Televisions,Fry's Electronics,retailer,1
Sony,XBR49X800D,Televisions,Fry's Electronics,retailer,1
Samsung,UN55KS8000FXZA,Televisions,Fry's Electronics,retailer,1
Panasonic,TC-55CX400U,Televisions,Fry's Electronics,retailer,1
KC,KC55V1,Televisions,Fry's Electronics,retailer,1
LG,32LJ500B,Televisions,Fry's Electronics,retailer,1
Samsung,UN60H7150AFXZA,Televisions,Fry's Electronics,retailer,1
Seiki,SE26HQ04,Televisions,Fry's Electronics,retailer,1
LG,22LN4500,Televisions,Fry's Electronics,retailer,1
RCA,RSLD50A45RQ,Televisions,Fry's Electronics,retailer,1
RCA,RLED50B45RQ,Televisions,Fry's Electronics,retailer,1
LG,49LJ5500,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KU7500,Televisions,Fry's Electronics,retailer,1
LG,55LA9700,Televisions,Fry's Electronics,retailer,1
Samsung,UN75KS9000,Televisions,Fry's Electronics,retailer,1
LG,60UH8500,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KU7000,Televisions,Fry's Electronics,retailer,1
Sony,XBR65X810C,Televisions,Fry's Electronics,retailer,1
Samsung,UN55HU6840FXZA,Televisions,Fry's Electronics,retailer,1
LG,55UH6550,Televisions,Fry's Electronics,retailer,1
Samsung,UN48J5000BFXZA,Televisions,Fry's Electronics,retailer,1
LG,60UJ6540,Televisions,Fry's Electronics,retailer,1
Sony,XBR43X800D,Televisions,Fry's Electronics,retailer,1
LG,55UH6030,Televisions,Fry's Electronics,retailer,1
Samsung,UN24H4500,Televisions,Fry's Electronics,retailer,1
Sony,KDL32R400A,Televisions,Fry's Electronics,retailer,1
Naxa,NTL-7000,Televisions,Fry's Electronics,retailer,1
Magnavox,24ME403V/F7,Televisions,Fry's Electronics,retailer,1
Naxa,NTL-4300N,Televisions,Fry's Electronics,retailer,1
Avera,49EQX10,Televisions,Fry's Electronics,retailer,1
Samsung,UN43J5200,Televisions,Fry's Electronics,retailer,1
Samsung,UN60JU6400,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KU6300FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN65JS9000FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KS9800,Televisions,Fry's Electronics,retailer,1
Sony,XBR65X850C,Televisions,Fry's Electronics,retailer,1
Samsung,UN65J6200,Televisions,Fry's Electronics,retailer,1
Samsung,RBUN65KU6290FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN65KU6290,Televisions,Fry's Electronics,retailer,1
Sony,XBR55X700D,Televisions,Fry's Electronics,retailer,1
Samsung,UN55MU6490FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN43KU6300FXZA,Televisions,Fry's Electronics,retailer,1
LG,55LJ5500,Televisions,Fry's Electronics,retailer,1
Samsung,UN40J6200,Televisions,Fry's Electronics,retailer,1
Sony,XBR49X830C,Televisions,Fry's Electronics,retailer,1
Samsung,UN32M5300AFXZA,Televisions,Fry's Electronics,retailer,1
Sharp,RBLC-43N6100U,Televisions,Fry's Electronics,retailer,1
KC,KC40V1,Televisions,Fry's Electronics,retailer,1
Atyme,320AM5HD,Televisions,Fry's Electronics,retailer,1
Proscan,PLED1960A,Televisions,Fry's Electronics,retailer,1
Samsung,UN75H6350AFXZA,Televisions,Fry's Electronics,retailer,1
LG,49LH5700,Televisions,Fry's Electronics,retailer,1
Sony,XBR55X850D,Televisions,Fry's Electronics,retailer,1
LG,50LB6500,Televisions,Fry's Electronics,retailer,1
Samsung,UN78KS9500FXZA,Televisions,Fry's Electronics,retailer,1
Sharp,RBLC-55N6000U,Televisions,Fry's Electronics,retailer,1
Samsung,UN50KU6300FXZA,Televisions,Fry's Electronics,retailer,1
Samsung,UN49K6250AFXZA,Televisions,Fry's Electronics,retailer,1
LG,43LJ5500,Televisions,Fry's Electronics,retailer,1
Samsung,UN48J5200,Televisions,Fry's Electronics,retailer,1
Sony,KDL48R510C,Televisions,Fry's Electronics,retailer,1
LG,49UH6030,Televisions,Fry's Electronics,retailer,1
Sony,KDL40R510C,Televisions,Fry's Electronics,retailer,1
SILO,SL48V2,Televisions,Fry's Electronics,retailer,1
Atyme,395AM7DVD,Televisions,Fry's Electronics,retailer,1
Atyme,400AM7HD,Televisions,Fry's Electronics,retailer,1
RCA,LED40G45RQ,Televisions,Fry's Electronics,retailer,1
Super Sonic,SC-195,Televisions,Fry's Electronics,retailer,1
Avera,40AER10,Televisions,Fry's Electronics,retailer,1
SILO,55UHDK200,Televisions,Fry's Electronics,retailer,1
RCA,SLD48G45RQ,Televisions,Fry's Electronics,retailer,1
LG,43LH5700,Televisions,Fry's Electronics,retailer,1
Samsung,RBUN60KU630DFXZA,Televisions,Fry's Electronics,retailer,1
LG,65SJ8500,Televisions,Fry's Electronics,retailer,1
Samsung,UN88JS9500FXZA,Televisions,Fry's Electronics,retailer,1
Sony,XBR65X950B,Televisions,Fry's Electronics,retailer,1
Sharp,RBLC-55P6000U,Televisions,Fry's Electronics,retailer,1
Samsung,UN49MU6290FXZA,Televisions,Fry's Electronics,retailer,1
LeEco,L654UCNN,Televisions,Fry's Electronics,retailer,1
